citizen_id,name,surname,sex,birthday,household_id,occupation_id,branch_id
1,George,JENSEN,m,1935-09-22,1,512,32
2,Cole,JENSEN,m,2009-02-13,1,,
3,Kaitlin,JENSEN,f,2012-05-04,1,,
4,Lyndsey,BERNAL,f,1953-08-17,2,141,29
5,Robert,BERNAL,m,2009-07-01,2,,
6,Matthew,BARTLETT,m,1998-06-01,3,265,32
7,Rachel,BARTLETT,f,2017-06-06,3,,
8,Elijah,BARTLETT,m,2017-09-16,3,,
9,Jake,MCCARTHY,m,1961-06-13,4,315,31
10,Jenna,MCCARTHY,f,1941-02-13,4,343,36
11,Alana,MCCARTHY,f,2007-12-15,4,,
12,Barrie,MCCARTHY,m,1987-12-13,4,512,37
13,Kirsten,MERCADO,f,1944-01-25,5,941,33
14,Patrick,MERCADO,m,1990-01-29,5,931,36
15,Ben,MERCADO,m,2019-10-06,5,,
16,Sonny,MERCADO,m,2009-03-22,5,,
17,Robbie,LAMBERT,m,1985-03-29,6,751,27
18,Leigh,LAMBERT,f,1948-12-09,6,132,35
19,Alexander,LAMBERT,m,2007-11-10,6,,
20,Gary,LAMBERT,m,2018-08-28,6,,
21,Arthur,LAMBERT,m,2007-01-31,6,,
22,Jaxon,BOYER,m,1998-04-24,7,941,31
23,Jill,BOYER,f,1966-11-09,7,512,32
24,Kerry,BOYER,f,2021-01-05,7,,
25,Robin,BOYER,m,2021-10-01,7,,
26,Kayden,BOYER,m,2018-12-17,7,,
27,Olivia,LIU,f,1951-01-23,8,751,37
28,Scott,LIU,m,1977-06-02,8,341,35
29,Cora,LIU,f,2009-11-08,8,,
30,Calvin,LIU,m,2014-07-25,8,,
31,Grayson,LIU,m,2020-10-21,8,,
32,Myles,NEAL,m,1993-11-17,9,811,32
33,Hallie,NEAL,f,1994-08-20,9,832,31
34,Lucas,NEAL,m,2016-05-26,9,,
35,Taylor,NEAL,m,2020-10-21,9,,
36,Linsey,MCGEE,f,1981-03-21,10,512,33
37,Anne,MCGEE,f,2000-06-01,10,833,36
38,Pauline,MURILLO,f,1943-06-07,11,512,30
39,Stewart,MURILLO,m,1976-03-09,11,331,37
40,Clare,MACDONALD,f,1955-10-21,12,931,35
41,Isaac,MACDONALD,m,2020-02-16,12,,
42,Kai,PARRA,m,1963-07-27,13,931,37
43,Courtney,PARRA,f,1965-06-01,13,315,32
44,Greg,PARRA,m,1992-11-14,13,513,32
45,Alan,PARRA,m,1986-05-29,13,512,37
46,Steven,PARRA,m,2008-12-17,13,,
47,Oliver,RICH,m,1941-06-12,14,141,27
48,Indie,PITTS,f,1999-02-23,14,352,31
49,Quinn,MAGANA,f,1989-10-30,14,941,31
50,Rachael,FOSTER,f,1930-11-23,14,312,37
51,Colin,BENNETT,m,1991-12-08,15,512,37
52,Sophie,MCFARLAND,f,1931-10-25,16,512,34
53,Imogen,FRANKLIN,f,1987-02-01,16,512,28
54,Campbell,RIVERS,m,1954-05-10,16,513,34
55,Alana,OCONNELL,f,1949-03-13,16,931,37
56,Luca,MACK,m,1941-02-05,17,833,30
57,Mason,HORNE,m,1945-04-30,17,833,37
58,Sara,GIBSON,f,1942-10-14,17,512,34
59,Maya,GLOVER,f,1949-07-08,18,941,36
60,Peter,ROMERO,m,1972-09-12,18,265,33
61,Gerard,KRAMER,m,1976-04-25,18,315,37
62,Katherine,ANDERSEN,f,1984-08-10,19,322,37
63,Jane,BOWEN,f,1990-01-24,20,931,33
