household_id,flat_n,street_n,street_name,city
1,21,27,HAMERTON AVE,Hillcrest Heights
2,25,114,DE HARO ST,Hillcrest Heights
3,20,51,LILLIAN ST,Hillcrest Heights
4,19,68,UNNAMED 071,Hillcrest Heights
5,14,169,GROVE ST,Hillcrest Heights
6,24,198,INDIANA ST,Hillcrest Heights
7,24,147,LYNCH ST,Hillcrest Heights
8,32,48,BENNINGTON ST,Hillcrest Heights
9,2,17,MERCED AVE,Hillcrest Heights
10,10,88,HARDIE PL,Hillcrest Heights
11,43,13,NEWTON ST,Hillcrest Heights
12,29,196,ALMADEN CT,Hillcrest Heights
13,37,74,SIBERT LN,Hillcrest Heights
14,26,139,ROCKRIDGE DR,Hillcrest Heights
15,18,156,DORADO TER,Hillcrest Heights
16,5,199,18TH ST,Hillcrest Heights
17,34,58,POPE RD,Hillcrest Heights
18,28,92,SHORT ST,Hillcrest Heights
19,35,154,CERRITOS AVE,Hillcrest Heights
20,43,199,TONQUIN ST,Hillcrest Heights
